"","Sample Size","Basic Model","Comorbidities","PainLocations","Medications","PhysicalFunctioning","DepressiveSymptoms","LifeSatisfaction","LOCchance","LOCpowerful","LOCinternal"
"1",30,1.08710246989416,0.932227721039609,0.907329845505734,0.936561370737681,0.899582136216818,0.912132638437935,0.927951129594967,0.831846595304328,0.842659870440518,0.847638033123909
"2",60,1.00706130563614,0.844398790844377,0.802463468917742,0.80753933504008,0.754914990022557,0.743577252256547,0.733315278303782,0.635744510553005,0.621171445331839,0.600870238668081
"3",90,0.983274213756263,0.819100240299011,0.773211001909148,0.772730677246458,0.717229564598196,0.701263265035617,0.686332712429434,0.590342745054684,0.572128514185421,0.548782065587862
"4",120,0.971852400893411,0.807079032318914,0.759455357869301,0.756534190695557,0.699881960598503,0.681997790721452,0.665181050867707,0.570137561816206,0.550560585384128,0.526153196980401
"5",150,0.965142459764608,0.800054727718632,0.75146010426562,0.747170145536777,0.689906025400599,0.670978940217609,0.653149860822163,0.558708907389134,0.538430433815937,0.513499993609464
"6",180,0.960727105964727,0.795447659210078,0.746233138588017,0.74106802742358,0.683426175830821,0.663844974816874,0.645386092825469,0.551358492583831,0.530655126382597,0.505417099757299
"7",210,0.957601141611036,0.792193204139456,0.742548832983992,0.736776181288316,0.678878547257096,0.658849197428639,0.639961215175296,0.54623381672626,0.525246337170952,0.499807042734105
"8",240,0.955271709668064,0.789771913378676,0.73981204720901,0.733593077291349,0.67551099928158,0.655155578485312,0.635956646896227,0.542456839074995,0.521266318355759,0.495685558336948
"9",270,0.953468758555695,0.787900141084401,0.737698897691754,0.731138209344499,0.672916938462026,0.652313691603355,0.632879155405031,0.5395576976723,0.518214977155776,0.492529562449783
"10",300,0.95203191971185,0.786409876063301,0.736018019176321,0.729187314687135,0.670857320039708,0.650059378695423,0.630440199012078,0.537262211301898,0.515801227540243,0.490035360092478
"11",330,0.950859954170582,0.785195264610997,0.734649077412977,0.727599642916167,0.669182403080463,0.648227484093068,0.628459723226339,0.535399616391067,0.513844128698485,0.488014540682901
"12",360,0.949885800043417,0.784186298860404,0.733512610581077,0.726282392661509,0.667793608815763,0.646709446601064,0.626819554015778,0.533858008322445,0.512225288990076,0.486344015542419
"13",390,0.949063272572494,0.783334827540527,0.732554034004022,0.725171895502594,0.666623389154085,0.645430970317274,0.625438917271255,0.532560993570454,0.510863987510644,0.48493996669795
"14",420,0.948359526554381,0.78260664383084,0.731734611328616,0.724223015707363,0.665623907494211,0.644339494239756,0.624260727966017,0.531454638845936,0.509703295029238,0.483743342272364
"15",450,0.947750564547091,0.781976778264669,0.731026091890073,0.72340286443511,0.664760337423508,0.643396785822888,0.62324349901775,0.53049978185736,0.508701910025242,0.482711338425343
"16",480,0.947218445583942,0.781426577779505,0.730407387556615,0.722686909809324,0.664006721269193,0.642574369927116,0.622356354409768,0.529667298550992,0.507829140552229,0.481812170694268
"17",510,0.946749487890429,0.780941827212272,0.729862438072605,0.722056481090434,0.663343315957036,0.641850602729267,0.621575840588288,0.528935080478253,0.507061703047579,0.481021742369576
"18",540,0.946333075769051,0.78051150356509,0.729378796893962,0.721497116900798,0.66275483821101,0.641208739043147,0.620883822483778,0.528286042312716,0.506381614246644,0.480321452703122
"19",570,0.945960846277395,0.780126927586642,0.728946668912213,0.720997442248439,0.662229272570495,0.640635620645721,0.620266056814911,0.527706771928251,0.505774764177479,0.479696714530021
"20",600,0.945626121759241,0.779781172290167,0.728558240119618,0.720548386848493,0.661757042312207,0.640120764643671,0.619711201267601,0.527186593610431,0.505229926634481,0.479135927130223
